add device 1: /dev/input/event4
  name:     "grip_sensor_wifi"
add device 2: /dev/input/event0
  name:     "meta_event"
add device 3: /dev/input/event5
  name:     "Exynos9610-Audio Headset Jack"
add device 4: /dev/input/event3
  name:     "grip_sensor"
add device 5: /dev/input/event8
  name:     "wacom_hall"
add device 6: /dev/input/event7
  name:     "hall"
add device 7: /dev/input/event1
  name:     "sec_touchscreen"
add device 8: /dev/input/event6
  name:     "gpio_keys"
add device 9: /dev/input/event2
  name:     "sec_e-pen"
[   32977.565649] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.573986] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006d            
[   32977.573986] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006d            
[   32977.573986] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006d            
[   32977.573986] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001bf            
[   32977.573986] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.582315] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006e            
[   32977.582315] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006e            
[   32977.582315] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006e            
[   32977.582315] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001a8            
[   32977.582315] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007cf            
[   32977.582315] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.591610] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000006f            
[   32977.591610] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000006f            
[   32977.591610] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000006f            
[   32977.591610] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000157            
[   32977.591610] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.600214] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000000            
[   32977.600214] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000000            
[   32977.600214] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000000            
[   32977.600214] /dev/input/event1: EV_ABS       ABS_MT_TRACKING_ID   ffffffff            
[   32977.600214] /dev/input/event1: EV_KEY       BTN_TOUCH            UP                  
[   32977.600214] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32978.132381] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000000f            
[   32978.132381] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000000f            
[   32978.132381] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000000f            
[   32978.132381] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000208            
